Wearable-1,Ax,Ay,Az,Gx,Gy,Gz,Sensor time,,Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
,,,,,,,,,192.168.43.159,-0.052246094,0.987792969,-0.099121094,-0.9765625,-1.220703125,-0.793457031,1.87E+08
192.168.43.70,-0.643066406,-1.993652344,0.551269531,32.04345703,-16.05224609,-117.6147461,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.051269531,0.989257813,-0.080078125,-2.990722656,-0.732421875,-0.549316406,1.87E+08
192.168.43.70,-0.457519531,-1.836914063,0.531738281,76.04980469,-47.18017578,-97.16796875,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.06640625,0.986328125,-0.065429688,-3.845214844,-0.48828125,-0.122070313,1.88E+08
192.168.43.70,-0.139648438,-1.624023438,0.553710938,111.5112305,-52.67333984,-70.98388672,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.065429688,0.980957031,-0.080078125,-4.8828125,-2.075195313,0.244140625,1.88E+08
192.168.43.70,-0.055664063,-1.671875,0.560546875,126.8920898,-25.75683594,-44.43359375,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.043945313,0.982910156,-0.076660156,-6.164550781,-2.807617188,0.366210938,1.88E+08
192.168.43.70,-0.157714844,-1.78515625,0.572265625,144.2260742,-3.784179688,-25.20751953,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.053222656,0.985839844,-0.066894531,-7.019042969,-0.183105469,0.305175781,1.88E+08
192.168.43.70,-0.23828125,-1.790527344,0.597167969,166.5649414,1.647949219,-14.6484375,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.061035156,0.989257813,-0.078125,-7.995605469,1.831054688,0.671386719,1.88E+08
192.168.43.70,-0.372558594,-1.779296875,0.55859375,182.0068359,-1.770019531,-17.02880859,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.047851563,0.993652344,-0.070800781,-9.826660156,0.305175781,1.220703125,1.88E+08
192.168.43.70,-0.361328125,-1.796386719,0.507324219,194.0917969,-17.51708984,-24.65820313,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.049316406,0.985351563,-0.059570313,-12.32910156,0.183105469,1.647949219,1.88E+08
192.168.43.70,-0.2578125,-1.809570313,0.497558594,205.2612305,-28.13720703,-31.92138672,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.0546875,0.983398438,-0.040039063,-13.30566406,1.403808594,2.197265625,1.88E+08
192.168.43.70,-0.234863281,-1.812988281,0.479492188,213.9892578,-24.29199219,-34.1796875,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.063964844,0.987792969,-0.034179688,-13.54980469,1.892089844,2.319335938,1.88E+08
192.168.43.70,-0.235351563,-1.766601563,0.443359375,222.5341797,-14.58740234,-28.62548828,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.060546875,0.987304688,-0.041503906,-14.28222656,0.610351563,2.258300781,1.88E+08
192.168.43.70,-0.237792969,-1.7109375,0.416503906,229.675293,-5.432128906,-21.97265625,2.06E+08,,,,,,,,,
